EDC3_gas_a (yr),CO2 (ppmv),source
137,280.4,Dome C (Monnin et al. 2001) measured at University of Bern
268,274.9,Dome C (Monnin et al. 2001) measured at University of Bern
279,277.9,Dome C (Monnin et al. 2001) measured at University of Bern
395,279.1,Dome C (Monnin et al. 2001) measured at University of Bern
404,281.9,Dome C (Monnin et al. 2001) measured at University of Bern
485,277.7,Dome C (Monnin et al. 2001) measured at University of Bern
559,281.1,Dome C (Monnin et al. 2001) measured at University of Bern
672,282.2,Dome C (Monnin et al. 2001) measured at University of Bern
754,280.1,Dome C (Monnin et al. 2001) measured at University of Bern
877,278.4,Dome C (Monnin et al. 2001) measured at University of Bern
950,276.6,Dome C (Monnin et al. 2001) measured at University of Bern
1060,279.1,Dome C (Monnin et al. 2001) measured at University of Bern
1153,277.7,Dome C (Monnin et al. 2001) measured at University of Bern
1233,278.7,Dome C (Monnin et al. 2001) measured at University of Bern
1350,277.4,Dome C (Monnin et al. 2001) measured at University of Bern
1453,279.2,Dome C (Monnin et al. 2001) measured at University of Bern
1552,280,Dome C (Monnin et al. 2001) measured at University of Bern
1638,278.9,Dome C (Monnin et al. 2001) measured at University of Bern
1733,278.7,Dome C (Monnin et al. 2001) measured at University of Bern
1812,278,Dome C (Monnin et al. 2001) measured at University of Bern
1931,276.9,Dome C (Monnin et al. 2001) measured at University of Bern
2057,276.7,Dome C (Monnin et al. 2001) measured at University of Bern
2128,276.7,Dome C (Monnin et al. 2001) measured at University of Bern
2212,277.6,Dome C (Monnin et al. 2001) measured at University of Bern
2334,277.9,Dome C (Monnin et al. 2001) measured at University of Bern
2433,273.9,Dome C (Monnin et al. 2001) measured at University of Bern
2536,278.9,Dome C (Monnin et al. 2001) measured at University of Bern
2604,275.3,Dome C (Monnin et al. 2001) measured at University of Bern
2728,274.7,Dome C (Monnin et al. 2001) measured at University of Bern
2806,276.3,Dome C (Monnin et al. 2001) measured at University of Bern
2902,274.6,Dome C (Monnin et al. 2001) measured at University of Bern
3053,276.3,Dome C (Monnin et al. 2001) measured at University of Bern
3116,273.1,Dome C (Monnin et al. 2001) measured at University of Bern
3215,274,Dome C (Monnin et al. 2001) measured at University of Bern
3336,275,Dome C (Monnin et al. 2001) measured at University of Bern
3453,273.4,Dome C (Monnin et al. 2001) measured at University of Bern
3523,273,Dome C (Monnin et al. 2001) measured at University of Bern
3622,271.5,Dome C (Monnin et al. 2001) measured at University of Bern
3721,275.4,Dome C (Monnin et al. 2001) measured at University of Bern
3790,274.9,Dome C (Monnin et al. 2001) measured at University of Bern
3910,271.7,Dome C (Monnin et al. 2001) measured at University of Bern
4004,271.6,Dome C (Monnin et al. 2001) measured at University of Bern
4096,272.8,Dome C (Monnin et al. 2001) measured at University of Bern
4161,271.5,Dome C (Monnin et al. 2001) measured at University of Bern
4324,271.1,Dome C (Monnin et al. 2001) measured at University of Bern
4374,269.1,Dome C (Monnin et al. 2001) measured at University of Bern
4480,269.8,Dome C (Monnin et al. 2001) measured at University of Bern
4573,271.5,Dome C (Monnin et al. 2001) measured at University of Bern
4703,270.7,Dome C (Monnin et al. 2001) measured at University of Bern
4766,269.3,Dome C (Monnin et al. 2001) measured at University of Bern
4874,268.6,Dome C (Monnin et al. 2001) measured at University of Bern
5004,269.8,Dome C (Monnin et al. 2001) measured at University of Bern
5094,267.6,Dome C (Monnin et al. 2001) measured at University of Bern
5160,265.3,Dome C (Monnin et al. 2001) measured at University of Bern
5274,265.2,Dome C (Monnin et al. 2001) measured at University of Bern
5370,267.6,Dome C (Monnin et al. 2001) measured at University of Bern
