,EDC3_gas_a (yr),CO2 (ppmv),source,bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,modern_co2_Date,modern_co2_Decimal_Date,modern_co2_Average,modern_co2_Interpolated,modern_co2_Trend,modern_co2_Number_of_Days,Source,Year,Mean,ch4_year,ch4_month,ch4_decimal_date,ch4_average,ch4_average_unc,ch4_trend,ch4_trend_unc
0,137,280.4,Dome C (Monnin et al. 2001) measured at University of Bern,1,0.0,-50.0,-55.0,,218.3,3.105321,1958-03-01,1958.208,315.71,315.71,314.62,-1.0,GCAG,2016.0,0.9363,1983.0,7.0,1983.542,1625.93,2.26,1634.85,1.45
1,268,274.9,Dome C (Monnin et al. 2001) measured at University of Bern,2,0.55,-43.55977,-50.51333333,,218.3,3.104805,1958-04-01,1958.292,317.45,317.45,315.29,-1.0,GISTEMP,2016.0,0.99,1983.0,8.0,1983.625,1628.08,2.88,1635.42,1.39
2,279,277.9,Dome C (Monnin et al. 2001) measured at University of Bern,3,1.1,-37.44019,-46.02666667,,218.3,3.104404,1958-05-01,1958.375,317.5,317.5,314.71,-1.0,GCAG,2015.0,0.8998,1983.0,9.0,1983.708,1638.41,2.34,1636.05,1.32
3,395,279.1,Dome C (Monnin et al. 2001) measured at University of Bern,4,1.65,-31.64156,-41.54,,218.3,3.104025,1958-06-01,1958.458,-99.99,317.1,314.85,-1.0,GISTEMP,2015.0,0.87,1983.0,10.0,1983.792,1644.8,1.5,1636.74,1.24
4,404,281.9,Dome C (Monnin et al. 2001) measured at University of Bern,5,2.2,-24.55278,-34.51666667,,218.3,3.103453,1958-07-01,1958.542,315.86,315.86,314.98,-1.0,GCAG,2014.0,0.7408,1983.0,11.0,1983.875,1642.62,0.73,1637.49,1.16
5,485,277.7,Dome C (Monnin et al. 2001) measured at University of Bern,6,2.75,-17.78422,-27.49333333,,218.3,3.102677,1958-08-01,1958.625,314.93,314.93,315.94,-1.0,GISTEMP,2014.0,0.74,1983.0,12.0,1983.958,1639.53,0.89,1638.31,1.08
6,559,281.1,Dome C (Monnin et al. 2001) measured at University of Bern,7,3.3,-11.01305,-20.47,,218.3,3.101557,1958-09-01,1958.708,313.2,313.2,315.91,-1.0,GCAG,2013.0,0.6679,1984.0,1.0,1984.042,1638.77,1.95,1639.22,0.98
7,672,282.2,Dome C (Monnin et al. 2001) measured at University of Bern,8,3.85,-3.2703,-12.21333333,,218.3,3.099708,1958-10-01,1958.792,-99.99,312.66,315.61,-1.0,GISTEMP,2013.0,0.65,1984.0,2.0,1984.125,1638.87,2.11,1640.13,0.9
8,754,280.1,Dome C (Monnin et al. 2001) measured at University of Bern,9,4.4,5.447842,-3.956666667,,218.3,3.096691,1958-11-01,1958.875,313.33,313.33,315.31,-1.0,GCAG,2012.0,0.624,1984.0,3.0,1984.208,1640.82,1.78,1641.1,0.83
9,877,278.4,Dome C (Monnin et al. 2001) measured at University of Bern,10,4.95,13.52999,4.3,,218.3,3.092812,1958-12-01,1958.958,314.67,314.67,315.61,-1.0,GISTEMP,2012.0,0.63,1984.0,4.0,1984.292,1643.96,2.06,1642.16,0.76
