,modern_co2_Date,modern_co2_Decimal_Date,modern_co2_Average,modern_co2_Interpolated,modern_co2_Trend,modern_co2_Number_of_Days,historical_EDC3_gas_year,historical_co2_ppmv,historical_study_source
0,1958-03-01,1958.208,315.71,315.71,314.62,-1,137,280.4,Dome C (Monnin et al. 2001) measured at University of Bern
1,1958-04-01,1958.292,317.45,317.45,315.29,-1,268,274.9,Dome C (Monnin et al. 2001) measured at University of Bern
2,1958-05-01,1958.375,317.5,317.5,314.71,-1,279,277.9,Dome C (Monnin et al. 2001) measured at University of Bern
3,1958-06-01,1958.458,-99.99,317.1,314.85,-1,395,279.1,Dome C (Monnin et al. 2001) measured at University of Bern
4,1958-07-01,1958.542,315.86,315.86,314.98,-1,404,281.9,Dome C (Monnin et al. 2001) measured at University of Bern
5,1958-08-01,1958.625,314.93,314.93,315.94,-1,485,277.7,Dome C (Monnin et al. 2001) measured at University of Bern
6,1958-09-01,1958.708,313.2,313.2,315.91,-1,559,281.1,Dome C (Monnin et al. 2001) measured at University of Bern
7,1958-10-01,1958.792,-99.99,312.66,315.61,-1,672,282.2,Dome C (Monnin et al. 2001) measured at University of Bern
8,1958-11-01,1958.875,313.33,313.33,315.31,-1,754,280.1,Dome C (Monnin et al. 2001) measured at University of Bern
9,1958-12-01,1958.958,314.67,314.67,315.61,-1,877,278.4,Dome C (Monnin et al. 2001) measured at University of Bern
10,1959-01-01,1959.042,315.62,315.62,315.7,-1,950,276.6,Dome C (Monnin et al. 2001) measured at University of Bern
11,1959-02-01,1959.125,316.38,316.38,315.88,-1,1060,279.1,Dome C (Monnin et al. 2001) measured at University of Bern
12,1959-03-01,1959.208,316.71,316.71,315.62,-1,1153,277.7,Dome C (Monnin et al. 2001) measured at University of Bern
13,1959-04-01,1959.292,317.72,317.72,315.56,-1,1233,278.7,Dome C (Monnin et al. 2001) measured at University of Bern
14,1959-05-01,1959.375,318.29,318.29,315.5,-1,1350,277.4,Dome C (Monnin et al. 2001) measured at University of Bern
15,1959-06-01,1959.458,318.15,318.15,315.92,-1,1453,279.2,Dome C (Monnin et al. 2001) measured at University of Bern
16,1959-07-01,1959.542,316.54,316.54,315.66,-1,1552,280.0,Dome C (Monnin et al. 2001) measured at University of Bern
17,1959-08-01,1959.625,314.8,314.8,315.81,-1,1638,278.9,Dome C (Monnin et al. 2001) measured at University of Bern
18,1959-09-01,1959.708,313.84,313.84,316.55,-1,1733,278.7,Dome C (Monnin et al. 2001) measured at University of Bern
19,1959-10-01,1959.792,313.26,313.26,316.19,-1,1812,278.0,Dome C (Monnin et al. 2001) measured at University of Bern
