,irish_rainfall_year,irish_rainfall_month,median_monthly_rainfall,irish_rainfall_date
0,1711,1,16.4,1711-01-01
1,1711,2,73.1,1711-02-01
2,1711,3,121.2,1711-03-01
3,1711,4,85.2,1711-04-01
4,1711,5,66.6,1711-05-01
5,1711,6,66.6,1711-06-01
6,1711,7,46.9,1711-07-01
7,1711,8,91.7,1711-08-01
8,1711,9,74.2,1711-09-01
9,1711,10,128.8,1711-10-01
10,1711,11,207.4,1711-11-01
11,1711,12,113.5,1711-12-01
12,1712,1,42.6,1712-01-01
13,1712,2,31.3,1712-02-01
14,1712,3,83.9,1712-03-01
15,1712,4,102.7,1712-04-01
16,1712,5,60.1,1712-05-01
17,1712,6,102.7,1712-06-01
18,1712,7,200.4,1712-07-01
19,1712,8,106.5,1712-08-01
20,1712,9,111.5,1712-09-01
21,1712,10,180.4,1712-10-01
22,1712,11,175.4,1712-11-01
23,1712,12,55.1,1712-12-01
24,1713,1,97.3,1713-01-01
25,1713,2,107.1,1713-02-01
26,1713,3,60.9,1713-03-01
27,1713,4,30.5,1713-04-01
28,1713,5,70.7,1713-05-01
29,1713,6,76.6,1713-06-01
30,1713,7,160.1,1713-07-01
31,1713,8,127.7,1713-08-01
32,1713,9,39.3,1713-09-01
33,1713,10,41.3,1713-10-01
34,1713,11,90.4,1713-11-01
35,1713,12,80.6,1713-12-01
36,1714,1,42.4,1714-01-01
37,1714,2,80.5,1714-02-01
38,1714,3,53.9,1714-03-01
39,1714,4,56.6,1714-04-01
40,1714,5,41.6,1714-05-01
41,1714,6,26.5,1714-06-01
42,1714,7,150.3,1714-07-01
43,1714,8,79.6,1714-08-01
44,1714,9,66.3,1714-09-01
45,1714,10,114.1,1714-10-01
46,1714,11,82.2,1714-11-01
47,1714,12,90.2,1714-12-01
48,1715,1,125.8,1715-01-01
49,1715,2,69.2,1715-02-01
50,1715,3,76.7,1715-03-01
51,1715,4,135.9,1715-04-01
52,1715,5,166.1,1715-05-01
53,1715,6,106.9,1715-06-01
54,1715,7,123.3,1715-07-01
55,1715,8,108.2,1715-08-01
56,1715,9,128.3,1715-09-01
57,1715,10,104.4,1715-10-01
58,1715,11,65.4,1715-11-01
59,1715,12,47.8,1715-12-01
60,1716,1,17.8,1716-01-01
61,1716,2,55.5,1716-02-01
62,1716,3,37.7,1716-03-01
63,1716,4,73.2,1716-04-01
64,1716,5,128.7,1716-05-01
65,1716,6,53.4,1716-06-01
66,1716,7,75.3,1716-07-01
67,1716,8,67.0,1716-08-01
68,1716,9,193.6,1716-09-01
69,1716,10,144.4,1716-10-01
70,1716,11,122.4,1716-11-01
71,1716,12,77.4,1716-12-01
72,1717,1,99.0,1717-01-01
73,1717,2,73.3,1717-02-01
74,1717,3,74.3,1717-03-01
75,1717,4,94.1,1717-04-01
76,1717,5,79.2,1717-05-01
77,1717,6,74.3,1717-06-01
78,1717,7,65.3,1717-07-01
79,1717,8,93.1,1717-08-01
80,1717,9,96.0,1717-09-01
81,1717,10,65.3,1717-10-01
82,1717,11,125.7,1717-11-01
83,1717,12,90.1,1717-12-01
84,1718,1,62.5,1718-01-01
85,1718,2,75.7,1718-02-01
86,1718,3,71.0,1718-03-01
87,1718,4,89.0,1718-04-01
88,1718,5,68.2,1718-05-01
89,1718,6,27.5,1718-06-01
90,1718,7,60.6,1718-07-01
91,1718,8,126.9,1718-08-01
92,1718,9,34.1,1718-09-01
93,1718,10,95.6,1718-10-01
94,1718,11,80.5,1718-11-01
95,1718,12,164.8,1718-12-01
96,1719,1,71.9,1719-01-01
97,1719,2,118.9,1719-02-01
98,1719,3,54.6,1719-03-01
99,1719,4,70.9,1719-04-01
100,1719,5,67.1,1719-05-01
101,1719,6,45.1,1719-06-01
102,1719,7,68.1,1719-07-01
103,1719,8,70.0,1719-08-01
104,1719,9,56.6,1719-09-01
105,1719,10,95.9,1719-10-01
106,1719,11,139.0,1719-11-01
107,1719,12,100.7,1719-12-01
108,1720,1,144.0,1720-01-01
109,1720,2,85.4,1720-02-01
110,1720,3,103.7,1720-03-01
111,1720,4,63.5,1720-04-01
112,1720,5,87.9,1720-05-01
113,1720,6,72.0,1720-06-01
114,1720,7,101.3,1720-07-01
115,1720,8,118.4,1720-08-01
116,1720,9,91.5,1720-09-01
117,1720,10,119.6,1720-10-01
118,1720,11,109.8,1720-11-01
119,1720,12,123.3,1720-12-01
120,1721,1,97.8,1721-01-01
121,1721,2,59.1,1721-02-01
122,1721,3,72.8,1721-03-01
123,1721,4,131.9,1721-04-01
124,1721,5,72.8,1721-05-01
125,1721,6,106.9,1721-06-01
126,1721,7,102.3,1721-07-01
127,1721,8,125.1,1721-08-01
128,1721,9,60.3,1721-09-01
129,1721,10,97.8,1721-10-01
130,1721,11,158.1,1721-11-01
131,1721,12,52.3,1721-12-01
132,1722,1,71.4,1722-01-01
133,1722,2,45.4,1722-02-01
134,1722,3,100.9,1722-03-01
135,1722,4,47.6,1722-04-01
136,1722,5,181.4,1722-05-01
137,1722,6,87.3,1722-06-01
138,1722,7,145.1,1722-07-01
139,1722,8,79.4,1722-08-01
140,1722,9,46.5,1722-09-01
141,1722,10,65.8,1722-10-01
142,1722,11,114.5,1722-11-01
143,1722,12,148.5,1722-12-01
144,1723,1,91.5,1723-01-01
145,1723,2,137.3,1723-02-01
146,1723,3,70.0,1723-03-01
147,1723,4,67.4,1723-04-01
148,1723,5,18.1,1723-05-01
149,1723,6,36.3,1723-06-01
150,1723,7,89.8,1723-07-01
151,1723,8,47.5,1723-08-01
152,1723,9,43.2,1723-09-01
153,1723,10,63.9,1723-10-01
154,1723,11,96.7,1723-11-01
155,1723,12,101.9,1723-12-01
156,1724,1,134.6,1724-01-01
157,1724,2,85.6,1724-02-01
158,1724,3,91.8,1724-03-01
159,1724,4,69.7,1724-04-01
160,1724,5,62.4,1724-05-01
161,1724,6,63.6,1724-06-01
162,1724,7,105.2,1724-07-01
163,1724,8,179.9,1724-08-01
164,1724,9,111.3,1724-09-01
165,1724,10,51.4,1724-10-01
166,1724,11,68.5,1724-11-01
167,1724,12,199.4,1724-12-01
168,1725,1,111.6,1725-01-01
169,1725,2,50.4,1725-02-01
170,1725,3,46.8,1725-03-01
171,1725,4,108.0,1725-04-01
172,1725,5,88.8,1725-05-01
173,1725,6,129.6,1725-06-01
174,1725,7,103.2,1725-07-01
175,1725,8,135.6,1725-08-01
176,1725,9,118.8,1725-09-01
177,1725,10,90.0,1725-10-01
178,1725,11,108.0,1725-11-01
179,1725,12,109.2,1725-12-01
180,1726,1,119.1,1726-01-01
181,1726,2,83.8,1726-02-01
182,1726,3,49.6,1726-03-01
183,1726,4,61.7,1726-04-01
184,1726,5,73.9,1726-05-01
185,1726,6,101.4,1726-06-01
186,1726,7,88.2,1726-07-01
187,1726,8,76.1,1726-08-01
188,1726,9,153.2,1726-09-01
189,1726,10,92.6,1726-10-01
190,1726,11,103.6,1726-11-01
191,1726,12,99.2,1726-12-01
192,1727,1,98.0,1727-01-01
193,1727,2,105.0,1727-02-01
194,1727,3,53.6,1727-03-01
195,1727,4,105.0,1727-04-01
196,1727,5,116.6,1727-05-01
197,1727,6,86.3,1727-06-01
198,1727,7,93.3,1727-07-01
199,1727,8,68.8,1727-08-01
200,1727,9,119.0,1727-09-01
201,1727,10,123.6,1727-10-01
202,1727,11,106.1,1727-11-01
203,1727,12,91.0,1727-12-01
204,1728,1,122.7,1728-01-01
205,1728,2,52.4,1728-02-01
206,1728,3,92.9,1728-03-01
207,1728,4,94.1,1728-04-01
208,1728,5,69.1,1728-05-01
209,1728,6,140.6,1728-06-01
210,1728,7,82.2,1728-07-01
211,1728,8,81.0,1728-08-01
212,1728,9,110.8,1728-09-01
213,1728,10,94.1,1728-10-01
214,1728,11,131.0,1728-11-01
215,1728,12,120.3,1728-12-01
216,1729,1,110.6,1729-01-01
217,1729,2,52.0,1729-02-01
218,1729,3,69.7,1729-03-01
219,1729,4,26.5,1729-04-01
220,1729,5,69.7,1729-05-01
221,1729,6,82.9,1729-06-01
222,1729,7,68.6,1729-07-01
223,1729,8,80.7,1729-08-01
224,1729,9,111.7,1729-09-01
225,1729,10,94.0,1729-10-01
226,1729,11,182.4,1729-11-01
227,1729,12,157.0,1729-12-01
228,1730,1,73.4,1730-01-01
229,1730,2,127.5,1730-02-01
230,1730,3,92.6,1730-03-01
231,1730,4,61.4,1730-04-01
232,1730,5,117.9,1730-05-01
233,1730,6,139.5,1730-06-01
234,1730,7,99.9,1730-07-01
235,1730,8,80.6,1730-08-01
236,1730,9,72.2,1730-09-01
237,1730,10,129.9,1730-10-01
238,1730,11,108.3,1730-11-01
239,1730,12,99.9,1730-12-01
240,1731,1,94.3,1731-01-01
241,1731,2,96.1,1731-02-01
242,1731,3,28.7,1731-03-01
243,1731,4,26.9,1731-04-01
244,1731,5,50.3,1731-05-01
245,1731,6,35.9,1731-06-01
246,1731,7,49.4,1731-07-01
247,1731,8,80.8,1731-08-01
248,1731,9,71.9,1731-09-01
249,1731,10,113.2,1731-10-01
250,1731,11,131.1,1731-11-01
251,1731,12,119.5,1731-12-01
252,1732,1,122.5,1732-01-01
253,1732,2,96.7,1732-02-01
254,1732,3,93.3,1732-03-01
255,1732,4,61.8,1732-04-01
256,1732,5,118.0,1732-05-01
257,1732,6,36.0,1732-06-01
258,1732,7,98.9,1732-07-01
259,1732,8,80.9,1732-08-01
260,1732,9,111.3,1732-09-01
261,1732,10,130.4,1732-10-01
262,1732,11,55.1,1732-11-01
263,1732,12,119.2,1732-12-01
264,1733,1,149.0,1733-01-01
265,1733,2,127.2,1733-02-01
266,1733,3,93.3,1733-03-01
267,1733,4,61.8,1733-04-01
268,1733,5,23.0,1733-05-01
269,1733,6,60.6,1733-06-01
270,1733,7,49.7,1733-07-01
