,modern_tempature_source,modern_temperature_year,modern_mean_temperature,bag,ztop,EDC3béta,historical_temp_year,deutfinal,historical_temp_kelvin,acc-EDC3beta
0,GCAG,2016,0.9363,1,0.0,-50.0,-55.0,,218.3,3.105321
1,GISTEMP,2016,0.99,2,0.55,-43.55977,-50.51333333,,218.3,3.104805
2,GCAG,2015,0.8998,3,1.1,-37.44019,-46.02666667,,218.3,3.104404
3,GISTEMP,2015,0.87,4,1.65,-31.64156,-41.54,,218.3,3.104025
4,GCAG,2014,0.7408,5,2.2,-24.55278,-34.51666667,,218.3,3.103453
5,GISTEMP,2014,0.74,6,2.75,-17.78422,-27.49333333,,218.3,3.102677
6,GCAG,2013,0.6679,7,3.3,-11.01305,-20.47,,218.3,3.101557
7,GISTEMP,2013,0.65,8,3.85,-3.2703,-12.21333333,,218.3,3.099708
8,GCAG,2012,0.624,9,4.4,5.447842,-3.956666667,,218.3,3.096691
9,GISTEMP,2012,0.63,10,4.95,13.52999,4.3,,218.3,3.092812
10,GCAG,2011,0.5788,11,5.5,22.27284,13.22,,218.3,3.087226
11,GISTEMP,2011,0.6,12,6.05,30.70987,22.14,,218.3,3.080266
12,GCAG,2010,0.7014,13,6.6,38.51757,31.06,-390.9,218.3,3.07229
13,GISTEMP,2010,0.71,14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912
14,GCAG,2009,0.6367,15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866
15,GISTEMP,2009,0.64,16,8.25,64.43646,57.05,-394.1,217.7,3.027896
16,GCAG,2008,0.5419,17,8.8,73.05573,66.38,-398.7,217.0,3.011312
17,GISTEMP,2008,0.54,18,9.35,81.72349,75.71,-395.9,217.4,2.994881
18,GCAG,2007,0.61,19,9.9,90.43857,85.04,-395.9,217.4,2.92487
19,GISTEMP,2007,0.66,20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806
20,GCAG,2006,0.6125,21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117
21,GISTEMP,2006,0.63,22,11.55,119.2176,114.51,-399.5,216.8,2.660774
22,GCAG,2005,0.6585,23,12.1,129.3916,124.6733333,-402.9,216.3,2.65627
23,GISTEMP,2005,0.69,24,12.65,139.9534,134.8366667,-393.9,217.8,2.655582
24,GCAG,2004,0.5783,25,13.2,150.1377,145.0,-398.6,217.0,2.659589
25,GISTEMP,2004,0.55,26,13.75,160.6797,155.4433333,-389.8,218.4,2.662412
26,GCAG,2003,0.6134,27,14.3,171.2088,165.8866667,-394.5,217.7,2.66669
27,GISTEMP,2003,0.62,28,14.85,181.7194,176.33,-400.5,216.7,2.672306
28,GCAG,2002,0.6023,29,15.4,191.8325,186.7333333,-403.6,216.2,2.678883
29,GISTEMP,2002,0.63,30,15.95,202.293,197.1366667,-393.1,217.9,2.734536
30,GCAG,2001,0.5473,31,16.5,212.5394,207.54,-410.9,215.0,2.745716
31,GISTEMP,2001,0.55,32,17.05,223.471,218.3533333,-393.6,217.8,2.75664
32,GCAG,2000,0.4262,33,17.6,233.9967,229.1666667,-391.1,218.2,2.768041
33,GISTEMP,2000,0.42,34,18.15,244.8395,239.98,-391.9,218.1,2.764792
34,GCAG,1999,0.4438,35,18.7,255.6953,251.3866667,-396.3,217.4,2.687325
35,GISTEMP,1999,0.42,36,19.25,266.864,262.7933333,-397.0,217.3,2.699987
36,GCAG,1998,0.6344,37,19.8,277.9812,274.2,-404.7,216.0,2.712933
37,GISTEMP,1998,0.64,38,20.35,289.4143,286.1633333,-398.2,217.1,2.726437
38,GCAG,1997,0.5187,39,20.9,301.1585,298.1266667,-395.2,217.6,2.724871
39,GISTEMP,1997,0.48,40,21.45,312.545,310.09,-403.5,216.2,2.730676
40,GCAG,1996,0.3228,41,22.0,323.9099,322.2733333,-398.6,217.0,2.743243
41,GISTEMP,1996,0.35,42,22.55,335.5896,334.4566667,-399.7,216.8,2.755527
42,GCAG,1995,0.4577,43,23.1,346.8579,346.64,-396.0,217.4,2.726245
43,GISTEMP,1995,0.46,44,23.65,358.6178,359.39,-400.2,216.7,2.677694
44,GCAG,1994,0.3409,45,24.2,370.9679,372.14,-401.6,216.5,2.686326
45,GISTEMP,1994,0.32,46,24.75,382.9111,384.89,-405.4,215.9,2.693056
46,GCAG,1993,0.2853,47,25.3,395.2021,397.84,-399.0,216.9,2.741105
47,GISTEMP,1993,0.24,48,25.85,407.2843,410.79,-396.9,217.3,2.821527
48,GCAG,1992,0.2571,49,26.4,418.6733,423.74,-394.9,217.6,2.821524
49,GISTEMP,1992,0.23,50,26.95,430.4257,436.3933333,-406.6,215.7,2.818627
50,GCAG,1991,0.4055,51,27.5,442.5554,449.0466667,-395.2,217.6,2.827304
51,GISTEMP,1991,0.43,52,28.05,454.3007,461.7,-395.3,217.5,2.864376
52,GCAG,1990,0.4328,53,28.6,466.2551,474.5333333,-399.5,216.8,2.850119
53,GISTEMP,1990,0.44,54,29.15,478.2794,487.3666667,-401.0,216.6,2.831804
54,GCAG,1989,0.297,55,29.7,490.3924,500.2,-393.6,217.8,2.783818
55,GISTEMP,1989,0.29,56,30.25,503.0865,513.42,-410.4,215.0,2.649808
56,GCAG,1988,0.3757,57,30.8,516.0368,526.64,-401.3,216.5,2.628777
57,GISTEMP,1988,0.41,58,31.35,529.475,539.86,-398.3,217.0,2.608592
58,GCAG,1987,0.3696,59,31.9,542.6268,553.08,-388.5,218.7,2.672903
59,GISTEMP,1987,0.33,60,32.45,555.8396,566.3,-391.9,218.1,2.822153
60,GCAG,1986,0.2296,61,33.0,568.3494,579.52,-400.8,216.6,2.805037
61,GISTEMP,1986,0.19,62,33.55,580.9313,592.3966667,-387.7,218.8,2.790755
62,GCAG,1985,0.1342,63,34.1,593.5725,605.2733333,-401.4,216.5,2.787745
63,GISTEMP,1985,0.12,64,34.65,606.2219,618.15,-401.0,216.6,2.813386
64,GCAG,1984,0.149,65,35.2,619.1082,630.7,-387.3,218.9,2.808731
65,GISTEMP,1984,0.15,66,35.75,631.65,643.25,-390.2,218.4,2.808108
66,GCAG,1983,0.3411,67,36.3,644.5452,655.8,-394.5,217.7,2.782628
67,GISTEMP,1983,0.3,68,36.85,657.9103,669.4466667,-401.9,216.4,2.545311
68,GCAG,1982,0.1815,69,37.4,672.1189,683.0933333,-399.8,216.8,2.556151
69,GISTEMP,1982,0.13,70,37.95,686.6481,696.74,-399.9,216.8,2.572144
70,GCAG,1981,0.2999,71,38.5,700.6882,711.2466667,-399.1,216.9,2.550936
71,GISTEMP,1981,0.33,72,39.05,715.2436,725.7533333,-401.9,216.4,2.521643
72,GCAG,1980,0.2637,73,39.6,729.5808,740.26,-404.8,216.0,2.535807
73,GISTEMP,1980,0.27,74,40.15,744.6373,754.86,-401.6,216.5,2.548125
74,GCAG,1979,0.2273,75,40.7,759.2383,769.46,-396.7,217.3,2.830327
75,GISTEMP,1979,0.17,76,41.25,772.3893,784.06,-397.1,217.2,2.841283
76,GCAG,1978,0.1123,77,41.8,785.8553,797.64,-394.2,217.7,2.84443
77,GISTEMP,1978,0.07,78,42.35,798.9567,811.22,-395.9,217.4,2.903514
78,GCAG,1977,0.1978,79,42.9,812.1401,824.8,-392.7,218.0,3.133139
79,GISTEMP,1977,0.18,80,43.45,824.3588,837.55,-390.4,218.3,3.136153
80,GCAG,1976,-0.0792,81,44.0,836.5675,850.3,-389.0,218.6,3.139172
81,GISTEMP,1976,-0.11,82,44.55,848.7663,863.05,-387.0,218.9,3.075957
82,GCAG,1975,0.0034,83,45.1,861.5453,876.68,-402.3,216.4,2.756111
83,GISTEMP,1975,-0.02,84,45.65,875.4421,890.31,-392.5,218.0,2.758608
84,GCAG,1974,-0.0719,85,46.2,889.3285,903.94,-404.6,216.0,2.761102
85,GISTEMP,1974,-0.07,86,46.75,903.5693,918.55,-390.5,218.3,2.744254
86,GCAG,1973,0.1641,87,47.3,917.8998,933.16,-402.3,216.4,2.734505
87,GISTEMP,1973,0.15,88,47.85,932.2836,947.77,-400.1,216.7,2.736998
88,GCAG,1972,0.0264,89,48.4,947.0249,962.7,-399.4,216.9,2.746718
89,GISTEMP,1972,0.01,90,48.95,960.9822,977.63,-400.6,216.7,2.793314
90,GCAG,1971,-0.0783,91,49.5,975.4282,992.56,-393.8,217.8,2.795871
91,GISTEMP,1971,-0.09,92,50.05,989.8635,1007.383333,-398.5,217.0,2.798396
92,GCAG,1970,0.0372,93,50.6,1004.288,1022.206667,-398.7,217.0,2.8391
93,GISTEMP,1970,0.02,94,51.15,1018.508,1037.03,-401.8,216.5,2.861252
94,GCAG,1969,0.0929,95,51.7,1032.268,1051.463333,-395.2,217.6,2.863657
95,GISTEMP,1969,0.07,96,52.25,1046.723,1065.896667,-390.1,218.4,2.856795
96,GCAG,1968,-0.0296,97,52.8,1060.862,1080.33,-393.9,217.8,2.821768
97,GISTEMP,1968,-0.07,98,53.35,1075.176,1095.11,-400.6,216.7,2.824023
98,GCAG,1967,-0.0131,99,53.9,1089.481,1109.89,-400.9,216.6,2.826217
99,GISTEMP,1967,-0.02,100,54.45,1104.135,1124.67,-391.7,218.1,2.938972
100,GCAG,1966,-0.0227,101,55.0,1118.228,1139.59,-399.3,216.9,2.977765
101,GISTEMP,1966,-0.05,102,55.55,1132.48,1154.51,-386.7,219.0,2.979947
102,GCAG,1965,-0.078,103,56.1,1146.385,1169.43,-401.5,216.5,2.997708
103,GISTEMP,1965,-0.1,104,56.65,1160.21,1183.663333,-398.1,217.1,3.046928
104,GCAG,1964,-0.1495,105,57.2,1173.811,1197.896667,-390.4,218.3,3.048791
105,GISTEMP,1964,-0.2,106,57.75,1187.738,1212.13,-389.8,218.4,3.050581
106,GCAG,1963,0.1068,107,58.3,1201.327,1226.456667,-390.7,218.3,3.012204
107,GISTEMP,1963,0.06,108,58.85,1215.092,1240.783333,-399.3,216.9,2.995794
108,GCAG,1962,0.0888,109,59.4,1229.273,1255.11,-392.5,218.0,2.997182
109,GISTEMP,1962,0.03,110,59.95,1243.449,1270.176667,-393.8,217.8,2.979469
110,GCAG,1961,0.0775,111,60.5,1258.053,1285.243333,-394.4,217.7,2.920587
111,GISTEMP,1961,0.05,112,61.05,1272.603,1300.31,-397.0,217.3,2.921544
112,GCAG,1960,0.0204,113,61.6,1287.152,1315.393333,-397.8,217.1,2.922352
113,GISTEMP,1960,-0.02,114,62.15,1302.045,1330.476667,-388.6,218.6,3.087595
114,GCAG,1959,0.0596,115,62.7,1315.817,1345.56,-394.7,217.6,3.108113
115,GISTEMP,1959,0.03,116,63.25,1330.151,1360.473333,-390.6,218.3,3.10837
116,GCAG,1958,0.1095,117,63.8,1344.162,1375.386667,-397.0,217.3,3.111592
117,GISTEMP,1958,0.07,118,64.35,1357.836,1390.3,-386.6,219.0,3.114634
118,GCAG,1957,0.0488,119,64.9,1371.821,1404.833333,-390.6,218.3,3.114276
119,GISTEMP,1957,0.04,120,65.45,1385.811,1419.366667,-397.0,217.3,3.113704
120,GCAG,1956,-0.199,121,66.0,1399.806,1433.9,-396.1,217.4,2.820622
121,GISTEMP,1956,-0.2,122,66.55,1415.617,1450.18,-398.9,216.9,2.803153
122,GCAG,1955,-0.1354,123,67.1,1431.53,1466.46,-400.2,216.7,2.80226
123,GISTEMP,1955,-0.15,124,67.65,1447.451,1482.74,-398.7,217.0,2.871246
124,GCAG,1954,-0.1165,125,68.2,1462.64,1498.793333,-389.7,218.5,2.882421
125,GISTEMP,1954,-0.13,126,68.75,1478.122,1514.846667,-401.6,216.5,2.880757
126,GCAG,1953,0.0952,127,69.3,1493.617,1530.9,-397.9,217.1,2.865307
127,GISTEMP,1953,0.08,128,69.85,1509.198,1546.89,-399.2,216.9,2.855912
128,GCAG,1952,0.0248,129,70.4,1524.834,1562.88,-397.6,217.2,2.853573
129,GISTEMP,1952,0.01,130,70.95,1540.486,1578.87,-390.5,218.3,2.870685
130,GCAG,1951,-0.0132,131,71.5,1556.402,1595.08,-401.5,216.5,2.884297
131,GISTEMP,1951,-0.07,132,72.05,1571.892,1611.29,-395.7,217.5,2.881112
132,GCAG,1950,-0.1616,133,72.6,1587.755,1627.5,-394.5,217.7,2.826122
133,GISTEMP,1950,-0.18,134,73.15,1603.929,1644.266667,-402.9,216.3,2.752708
134,GCAG,1949,-0.0568,135,73.7,1620.539,1661.033333,-401.0,216.6,2.748981
